exact_calls=112 false_false=14 false_true=2 true_false=34 true_true=62 completion_checks_removed=16 call_safepoints_removed=48
call caller=55 caller_name="csv_records_generic" callee=54 callee_name="build_rows" may_error=true may_gc=true
call caller=56 caller_name="csv_records" callee=55 callee_name="csv_records_generic" may_error=true may_gc=true
call caller=57 caller_name="csv_records_presized" callee=55 callee_name="csv_records_generic" may_error=true may_gc=true
call caller=58 caller_name="sample" callee=56 callee_name="csv_records" may_error=true may_gc=true
call caller=58 caller_name="sample" callee=57 callee_name="csv_records_presized" may_error=true may_gc=true
call caller=58 caller_name="sample" callee=42 callee_name="ht_get" may_error=true may_gc=true
call caller=58 caller_name="sample" callee=42 callee_name="ht_get" may_error=true may_gc=true
call caller=58 caller_name="sample" callee=32 callee_name="ht_size" may_error=true may_gc=false
call caller=58 caller_name="sample" callee=32 callee_name="ht_size" may_error=true may_gc=false
call caller=58 caller_name="sample" callee=42 callee_name="ht_get" may_error=true may_gc=true
call caller=58 caller_name="sample" callee=42 callee_name="ht_get" may_error=true may_gc=true
call caller=58 caller_name="sample" callee=42 callee_name="ht_get" may_error=true may_gc=true
call caller=58 caller_name="sample" callee=42 callee_name="ht_get" may_error=true may_gc=true
call caller=58 caller_name="sample" callee=42 callee_name="ht_get" may_error=true may_gc=true
